 (16769)
9 (1183)
57 (1150)
5 (862)
5 57 (238)
178 (728)
48 (699)
48 57 (213)
63 (623)
63 57 (257)
139 (617)
4 (594)
120 (594)
120 57 (216)
23 (558)
32 (552)
54 (511)
54 57 (215)
7 (487)
18 (412)
569 (401)
869 (369)
96 (303)
76 (298)
21 (283)
109 (280)
252 (279)
378 (279)
1134 (278)
622 (268)
453 (263)
294 (253)
20 (253)
43 (251)
8 (249)
503 (243)
19 (241)
451 (237)
56 (235)
222 (232)
234 (231)
843 (231)
31 (230)
388 (228)
384 (226)
61 (226)
28 (224)
644 (221)
2 (221)
176 (218)
706 (214)
113 (208)
212 (206)
367 (202)
15 (202)
